.asia,,Asia-Pacific region
.bayern,Bavaria,Germany
.berlin,Berlin,Germany
.brussels,Brussels,Belgium
.bzh,Brittany,France
.capetown,Cape Town,South Africa
.cat,Catalunya,Spain
.cologne,Cologne,Germany
.durban,Durban,South Africa
.eus,Basque,Spain and France
.frl,Friesland,Netherlands
.gal,Galicia,Spain
.hamburg,Hamburg,Germany
.joburg,Johannesburg,South Africa
.kiwi,,New Zealand
.koeln,Cologne,Germany
.london,London,United Kingdom
.melbourne,Melbourne,Australia
.moscow,Moscow,Russia
.nagoya,Nagoya,Japan
.nyc,New York City,USA
.paris,Paris,France
.quebec,Québec,Canada
.ruhr,Ruhr,Germany
.scot,Scotland,UK
.tokyo,Tokyo,Japan
.vegas,Las Vegas,USA
.vlaanderen,Flanders,Belgium
.wien,Vienna,Austria
.yokohama,Yokohama,Japan